C0REC 1 5 15 | 1 | h 7 : 0 9 10 3 4 13 7 | v 1 : 6 | w 1
C0REC 1 5 15 | 2 | h 7 : 8 9 10 11 4 13 7 | v 1 : 6 | w 1
C0REC 1 5 15 | 3 | h 7 : 8 9 2 3 4 13 7 | v 1 : 6 | w 1
C0REC 1 7 9 | 0 | h 3 : 0 13 15 | v 4 : 2 3 4 6 | w 6
C0REC 1 7 9 | 2 | h 3 : 8 5 15 | v 4 : 2 3 4 6 | w 6
C0REC 1 7 11 | 0 | h 3 : 3 14 15 | v 4 : 0 2 4 5 | w 6
C0REC 1 7 13 | 2 | h 3 : 9 10 5 | v 4 : 0 3 4 6 | w 6
C0REC 1 7 15 | 0 | h 3 : 0 9 3 | v 4 : 2 4 5 6 | w 6
C0REC 1 7 15 | 2 | h 3 : 8 9 11 | v 4 : 2 4 5 6 | w 6
C0REC 1 9 11 | 0 | h 5 : 2 3 4 13 14 | v 2 : 0 7 | w 2
C0REC 1 9 11 | 1 | h 5 : 10 3 4 5 14 | v 2 : 0 7 | w 2
C0REC 1 9 11 | 2 | h 5 : 10 3 4 13 6 | v 2 : 0 7 | w 2
C0REC 1 9 11 | 3 | h 5 : 2 3 4 5 6 | v 2 : 0 7 | w 2
C0REC 1 9 13 | 0 | h 3 : 3 4 15 | v 3 : 0 2 6 | w 3
C0REC 1 9 13 | 2 | h 3 : 11 4 7 | v 3 : 0 2 6 | w 3
C0REC 1 9 15 | 1 | h 3 : 0 5 7 | v 4 : 2 3 4 6 | w 6
C0REC 1 9 15 | 2 | h 3 : 8 13 7 | v 4 : 2 3 4 6 | w 6
C0REC 1 11 13 | 1 | h 5 : 9 3 5 6 15 | v 3 : 0 2 4 | w 3
C0REC 1 11 13 | 2 | h 5 : 9 3 5 14 7 | v 3 : 0 2 4 | w 3
C0REC 1 11 15 | 0 | h 7 : 0 9 3 4 5 14 7 | v 1 : 2 | w 1
C0REC 1 11 15 | 1 | h 7 : 0 9 3 4 13 6 7 | v 1 : 2 | w 1
C0REC 1 11 15 | 2 | h 7 : 8 9 3 4 13 14 7 | v 1 : 2 | w 1
C0REC 1 11 15 | 3 | h 7 : 8 9 3 4 5 6 7 | v 1 : 2 | w 1
C0REC 1 13 15 | 0 | h 5 : 0 9 4 5 6 | v 2 : 2 3 | w 2
C0REC 1 13 15 | 2 | h 5 : 8 9 4 5 14 | v 2 : 2 3 | w 2
C0REC 2 4 6 | 0 | h 5 : 10 11 12 13 14 | v 3 : 0 1 7 | w 3
C0REC 2 4 6 | 1 | h 5 : 10 3 12 5 14 | v 3 : 0 1 7 | w 3
C0REC 2 4 8 | 0 | h 5 : 0 10 11 13 14 | v 2 : 1 7 | w 2
C0REC 2 4 8 | 1 | h 5 : 0 10 3 13 6 | v 2 : 1 7 | w 2
C0REC 2 4 8 | 2 | h 5 : 0 10 11 5 6 | v 2 : 1 7 | w 2
C0REC 2 4 8 | 3 | h 5 : 0 10 3 5 14 | v 2 : 1 7 | w 2
C0REC 2 4 10 | 0 | h 3 : 11 14 15 | v 3 : 0 1 5 | w 3
C0REC 2 4 10 | 1 | h 3 : 3 14 7 | v 3 : 0 1 5 | w 3
C0REC 2 4 10 | 2 | h 3 : 11 6 7 | v 3 : 0 1 5 | w 3
C0REC 2 4 10 | 3 | h 3 : 3 6 15 | v 3 : 0 1 5 | w 3
C0REC 2 4 14 | 0 | h 5 : 0 1 10 11 6 | v 2 : 5 7 | w 2
C0REC 2 4 14 | 1 | h 5 : 0 9 10 3 6 | v 2 : 5 7 | w 2
C0REC 2 4 14 | 2 | h 5 : 8 9 10 11 6 | v 2 : 5 7 | w 2
C0REC 2 4 14 | 3 | h 5 : 8 1 10 3 6 | v 2 : 5 7 | w 2
C0REC 2 6 8 | 0 | h 5 : 0 10 13 14 15 | v 3 : 1 3 4 | w 3
C0REC 2 6 8 | 2 | h 5 : 0 10 5 14 7 | v 3 : 1 3 4 | w 3
C0REC 2 6 10 | 2 | h 1 : 8 | v 5 : 1 3 4 5 7 | w 10
C0REC 2 6 12 | 0 | h 5 : 1 10 4 14 15 | v 3 : 0 3 5 | w 3
C0REC 2 6 12 | 2 | h 5 : 9 10 4 14 7 | v 3 : 0 3 5 | w 3
C0REC 2 6 14 | 0 | h 1 : 0 | v 5 : 1 3 4 5 7 | w 10
C0REC 2 8 10 | 0 | h 5 : 0 1 4 13 14 | v 2 : 3 7 | w 2
C0REC 2 8 10 | 1 | h 5 : 0 9 4 5 14 | v 2 : 3 7 | w 2
C0REC 2 8 10 | 2 | h 5 : 0 9 4 13 6 | v 2 : 3 7 | w 2
C0REC 2 8 10 | 3 | h 5 : 0 1 4 5 6 | v 2 : 3 7 | w 2
C0REC 2 8 14 | 2 | h 5 : 10 11 4 13 6 | v 2 : 1 7 | w 2
C0REC 2 8 14 | 3 | h 5 : 10 3 4 5 6 | v 2 : 1 7 | w 2
C0REC 2 10 14 | 2 | h 1 : 8 | v 5 : 1 3 4 5 7 | w 10
C0REC 3 5 7 | 2 | h 3 : 11 6 15 | v 4 : 0 1 2 4 | w 6
C0REC 3 5 9 | 0 | h 5 : 1 11 13 14 15 | v 3 : 0 2 4 | w 3
C0REC 3 5 9 | 2 | h 5 : 1 11 13 6 7 | v 3 : 0 2 4 | w 3
C0REC 3 5 11 | 0 | h 3 : 0 13 15 | v 4 : 1 2 4 6 | w 6
C0REC 3 5 11 | 2 | h 3 : 8 13 7 | v 4 : 1 2 4 6 | w 6
C0REC 3 5 13 | 0 | h 3 : 0 1 11 | v 4 : 2 4 6 7 | w 6
C0REC 3 5 13 | 2 | h 3 : 8 9 11 | v 4 : 2 4 6 7 | w 6
C0REC 3 5 15 | 0 | h 5 : 1 2 11 13 7 | v 3 : 0 4 6 | w 3
C0REC 3 5 15 | 2 | h 5 : 9 10 11 13 7 | v 3 : 0 4 6 | w 3
C0REC 3 7 9 | 0 | h 7 : 0 1 11 4 13 14 15 | v 1 : 2 | w 1
C0REC 3 7 9 | 1 | h 7 : 8 1 11 4 5 14 15 | v 1 : 2 | w 1
C0REC 3 7 9 | 2 | h 7 : 8 1 11 4 13 6 15 | v 1 : 2 | w 1
C0REC 3 7 9 | 3 | h 7 : 0 1 11 4 5 6 15 | v 1 : 2 | w 1
C0REC 3 7 11 | 2 | h 3 : 9 4 13 | v 3 : 0 2 6 | w 3
C0REC 3 7 11 | 3 | h 3 : 1 4 5 | v 3 : 0 2 6 | w 3
C0REC 3 7 13 | 0 | h 5 : 0 2 11 4 15 | v 2 : 1 6 | w 2
C0REC 3 7 13 | 2 | h 5 : 8 10 11 4 15 | v 2 : 1 6 | w 2
