C0REC 0 4 8 | 2 | h 3 : 16 18 6 | v 11 : 1 3 5 7 9 10 11 12 13 14 15 | w 462
C0REC 0 4 8 | 3 | h 3 : 16 2 22 | v 11 : 1 3 5 7 9 10 11 12 13 14 15 | w 462
C0REC 0 4 10 | 0 | h 7 : 16 18 20 21 23 8 26 | v 9 : 1 3 6 9 11 12 13 14 15 | w 126
C0REC 0 4 10 | 1 | h 7 : 16 2 20 21 7 8 26 | v 9 : 1 3 6 9 11 12 13 14 15 | w 126
C0REC 0 4 10 | 2 | h 7 : 16 18 20 5 7 8 26 | v 9 : 1 3 6 9 11 12 13 14 15 | w 126
C0REC 0 4 10 | 3 | h 7 : 16 2 20 5 23 8 26 | v 9 : 1 3 6 9 11 12 13 14 15 | w 126
C0REC 0 4 12 | 0 | h 5 : 16 18 20 22 28 | v 11 : 1 3 5 7 8 9 10 11 13 14 15 | w 462
C0REC 0 4 12 | 3 | h 5 : 16 2 20 6 28 | v 11 : 1 3 5 7 8 9 10 11 13 14 15 | w 462
C0REC 0 4 14 | 0 | h 7 : 16 18 20 23 8 25 30 | v 9 : 1 3 5 6 10 11 12 13 15 | w 126
C0REC 0 4 14 | 1 | h 7 : 16 2 20 23 8 9 30 | v 9 : 1 3 5 6 10 11 12 13 15 | w 126
C0REC 0 4 14 | 2 | h 7 : 16 18 20 7 8 9 30 | v 9 : 1 3 5 6 10 11 12 13 15 | w 126
C0REC 0 4 14 | 3 | h 7 : 16 2 20 7 8 25 30 | v 9 : 1 3 5 6 10 11 12 13 15 | w 126
C0REC 0 4 16 | 0 | h 3 : 18 20 26 | v 12 : 1 3 5 6 7 8 9 11 12 13 14 15 | w 924
C0REC 0 4 16 | 1 | h 3 : 2 20 10 | v 12 : 1 3 5 6 7 8 9 11 12 13 14 15 | w 924
C0REC 0 4 18 | 0 | h 5 : 16 20 8 25 27 | v 10 : 1 3 5 6 7 10 12 13 14 15 | w 252
C0REC 0 4 18 | 2 | h 5 : 16 20 8 9 11 | v 10 : 1 3 5 6 7 10 12 13 14 15 | w 252
C0REC 0 4 20 | 0 | h 5 : 16 18 8 26 28 | v 10 : 1 3 5 6 7 9 11 13 14 15 | w 252
